const unsigned char c7[]={
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,	
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,	
2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,
2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,
2,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,
2,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,
2,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
};
